City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Atar,MR,2021-07-29 21:53:06,20.5169,-13.0499,91.76,30,100,8.57
120,Moissac,FR,2021-07-29 21:53:07,44.1024,1.0945,76.15,82,92,2.1
121,Lufilufi,WS,2021-07-29 21:53:07,-13.8745,-171.5986,85.78,75,32,18.7
122,Verkhoyansk,RU,2021-07-29 21:53:07,67.5447,133.385,58.06,45,42,1.54
123,Back Mountain,US,2021-07-29 21:53:08,41.3359,-75.9963,73.53,94,100,6.15
124,Lata,PT,2021-07-29 21:53:08,40.1629,-8.3327,63.05,97,0,2.46
125,Tura,IN,2021-07-29 21:53:08,25.5198,90.2201,74.64,92,100,7.23
126,Tigil,RU,2021-07-29 21:53:08,57.8,158.6667,49.89,80,96,5.73
127,Dikson,RU,2021-07-29 21:53:09,73.5069,80.5464,44.47,79,100,13.22
128,Den Helder,NL,2021-07-29 21:51:23,52.9599,4.7593,64.38,83,68,15.01
129,Castro,BR,2021-07-29 21:50:42,-24.7911,-50.0119,36.43,60,4,2.01
130,Petropavlovsk-Kamchatskiy,RU,2021-07-29 21:53:09,53.0452,158.6483,61.39,100,75,4.47
131,Chokurdakh,RU,2021-07-29 21:53:10,70.6333,147.9167,43.2,56,94,6.67
132,San Alberto,CO,2021-07-29 21:53:10,7.7611,-73.3922,86.63,74,88,2.3
133,Yar-Sale,RU,2021-07-29 21:53:10,66.8333,70.8333,47.57,98,97,12.28
134,Tuktoyaktuk,CA,2021-07-29 21:52:19,69.4541,-133.0374,60.8,88,90,11.5
135,Barahona,DO,2021-07-29 21:53:11,18.2085,-71.1008,87.62,74,40,16.11
136,Kirakira,SB,2021-07-29 21:53:11,-10.4544,161.9205,82.26,76,5,6.33
137,Lompoc,US,2021-07-29 21:53:11,34.6391,-120.4579,94.01,68,75,14.97
138,Comodoro Rivadavia,AR,2021-07-29 21:52:13,-45.8667,-67.5,64.26,20,0,6.91
139,San Patricio,US,2021-07-29 21:53:12,28.017,-97.5169,95.72,46,59,14.83
140,Hambantota,LK,2021-07-29 21:53:12,6.1241,81.1185,77.34,94,20,4.61
141,Nemuro,JP,2021-07-29 21:53:12,43.3236,145.575,66.4,99,91,9.6
142,Emirdag,TR,2021-07-29 21:53:12,39.0197,31.15,68.02,43,0,4.23
143,Antigonish,CA,2021-07-29 21:53:13,45.6169,-61.9986,74.14,53,25,3.0
144,Ust-Omchug,RU,2021-07-29 21:53:13,61.15,149.6333,42.21,65,23,10.65
145,Piterka,RU,2021-07-29 21:53:13,50.6803,47.4454,73.62,46,68,5.5
146,Paamiut,GL,2021-07-29 21:53:14,61.994,-49.6678,45.84,83,76,2.24
147,Victoria,HK,2021-07-29 21:50:02,22.2855,114.1577,84.18,90,99,3.71
148,Kamenka,RU,2021-07-29 21:53:14,51.3223,42.7678,69.62,70,33,7.56
149,Sitka,US,2021-07-29 21:52:05,57.0531,-135.33,66.09,68,20,8.05
150,Kodiak,US,2021-07-29 21:52:12,57.79,-152.4072,58.51,63,90,5.75
151,Bahia Blanca,AR,2021-07-29 21:50:09,-38.7196,-62.2724,54.09,37,0,11.54
152,Udachnyy,RU,2021-07-29 21:53:14,66.4167,112.4,68.63,47,17,4.65
153,Ponta Do Sol,PT,2021-07-29 21:53:15,32.6667,-17.1,73.0,75,18,6.87
154,Panzhihua,CN,2021-07-29 21:53:15,26.5851,101.7128,71.15,90,98,0.45
155,Qaanaaq,GL,2021-07-29 21:52:42,77.484,-69.3632,39.43,91,99,7.4
156,Divnogorsk,RU,2021-07-29 21:53:16,55.9594,92.3619,46.89,64,93,2.06
157,Anadyr,RU,2021-07-29 21:53:16,64.75,177.4833,39.7,86,75,20.0
158,Grand-Santi,GF,2021-07-29 21:53:16,4.25,-54.3833,73.74,96,41,1.1
159,Mandalgovi,MN,2021-07-29 21:53:16,45.7625,106.2708,59.14,67,7,9.84
160,Waingapu,ID,2021-07-29 21:53:17,-9.6567,120.2641,73.92,82,91,8.77
161,Fortuna,US,2021-07-29 21:53:17,40.5982,-124.1573,104.47,73,20,12.66
162,Amur,RU,2021-07-29 21:53:17,54.0,128.0,54.43,98,100,5.28
163,Jumla,NP,2021-07-29 21:53:18,29.2747,82.1838,63.77,96,98,2.17
164,Trinidad,BO,2021-07-29 21:53:18,-14.8333,-64.9,69.78,32,75,13.8
165,Saskylakh,RU,2021-07-29 21:53:18,71.9167,114.0833,73.94,48,10,3.56
166,Bafata,GW,2021-07-29 21:53:18,12.1667,-14.75,73.65,95,97,5.35
167,Oussouye,SN,2021-07-29 21:53:19,12.485,-16.5469,82.49,82,100,8.08
168,Banda Aceh,ID,2021-07-29 21:53:03,5.5577,95.3222,81.3,75,100,13.6
169,Port Jervis,US,2021-07-29 21:52:40,41.3751,-74.6927,73.33,98,100,5.39
170,Souillac,MU,2021-07-29 21:53:19,-20.5167,57.5167,68.38,83,75,11.5
171,Coihaique,CL,2021-07-29 21:53:20,-45.5752,-72.0662,51.75,50,90,14.97
172,High Level,CA,2021-07-29 21:53:20,58.5169,-117.136,78.91,34,40,12.66
173,Aitape,PG,2021-07-29 21:53:20,-3.1374,142.3475,78.6,86,51,3.76
174,Derzhavinsk,KZ,2021-07-29 21:53:21,51.1,66.3167,56.53,54,1,4.12
175,Mamallapuram,IN,2021-07-29 21:53:21,12.6264,80.1722,87.85,57,100,15.9
176,Kyren,RU,2021-07-29 21:53:21,51.6828,102.1408,54.48,99,100,1.86
177,Sorland,NO,2021-07-29 21:53:21,67.667,12.6934,50.13,86,1,30.47
178,Buraydah,SA,2021-07-29 21:53:22,26.326,43.975,93.65,15,99,7.14
179,Tasiilaq,GL,2021-07-29 21:52:25,65.6145,-37.6368,45.27,69,68,2.57
180,Fortuna Foothills,US,2021-07-29 21:53:22,32.6578,-114.4119,111.29,20,20,9.22
181,Ende,ID,2021-07-29 21:53:22,-8.8432,121.6623,74.8,88,86,4.32
182,San Vicente,AR,2021-07-29 21:53:23,-26.6167,-54.1333,36.91,63,0,3.2
183,Laguna,US,2021-07-29 21:53:23,38.421,-121.4238,108.14,28,1,4.0
